title,score,time,connect_url
雀圣2：自摸天后,5.7,2017-07-02,"thunder://QUFodHRwOi8vZGwxMjguODBzLmltOjkyMC8xNzA3L+mbgOWcozLvvJroh6rmkbjlpKnlkI5b57Kk6K+t54mIXS/pm4DlnKMy77ya6Ieq5pG45aSp5ZCOW+eypOivreeJiF0ubXA0Wlo=,thunder://QUFodHRwOi8vZGwxMjguODBzLmltOjkyMC8xNzA3L+mbgOWcozLvvJroh6rmkbjlpKnlkI5b5Zu96K+t54mIXS/pm4DlnKMy77ya6Ieq5pG45aSp5ZCOW+WbveivreeJiF0ubXA0Wlo="
惊门,3.5,2017-06-30,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+aDiumXqC/mg4rpl6gubXA0Wlo=
毒。诫,4.6,2017-07-01,"thunder://QUFodHRwOi8vZGwxMjkuODBzLmltOjkyMC8xNzA3L+avkuOAgmpb57Kk6K+t54mIXS/mr5LjgIJqW+eypOivreeJiF0ubXA0Wlo=,thunder://QUFodHRwOi8vZGwxMjkuODBzLmltOjkyMC8xNzA3L+avkuOAgmpb5Zu96K+t54mIXS/mr5LjgIJqW+WbveivreeJiF0ubXA0Wlo="
金钱追杀令,3.3,2017-06-30,thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+mHkemSsei/veadgOS7pC/ph5HpkrHov73mnYDku6QubXA0Wlo=
奇迹，那天如此重要,7.6,2017-06-30,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+Wlh+i/ue+8jOmCo+WkqeWmguatpOmHjeimgS/lpYfov7nvvIzpgqPlpKnlpoLmraTph43opoEubXA0Wlo=
卧底1000,6.4,2017-07-01,thunder://QUFodHRwOi8vZGwxMjguODBzLmltOjkyMC8xNzA3L+WNp+W6lTEwMDAv5Y2n5bqVMTAwMC5tcDRaWg==
冈仁波齐[DVD版],7.8,2017-06-30,thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+WGiHLms6LpvZBbRFZE54mIXS/lhohy5rOi6b2QW0RWROeJiF1faGQubXA0Wlo=
逆路,5.4,2017-07-01,"thunder://QUFodHRwOi8vZGwxMjcuODBzLmltOjkyMC8xNzA3L+mAhui3ry/pgIbot68ubXA0Wlo=,magnet:?xt=urn:btih:AF917E5B4B408E6CD310949CE039BC74BF04E5E8"
破碎我心,5.0,2017-07-02,thunder://QUFodHRwOi8vZGwxMzAuODBzLmltOjkyMC8xNzA3L+egtOeijuaIkeW/gy/noLTnoo7miJHlv4MubXA0Wlo=
保安官,6.0,2017-06-28,"thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+S/nWHlrpgv5L+dYeWumC5tcDRaWg==,magnet:?xt=urn:btih:6F9D257D23BDA527B43677143A2CACCF28F77DF5"
迷失Z城,6.7,2017-06-28,"thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+i/t3N65Z+OL+i/t3N65Z+OLm1wNFpa,magnet:?xt=urn:btih:fbfb8e5b3f0bfffef3cda39d26c1615e0ff43eb8&dn=The.Lost.City.of.Z.2016.720p.WEB-DL.XviD.AC3-FGT&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
反弹,5.7,2017-07-02,thunder://QUFodHRwOi8vZGwxMzEuODBzLmltOjkyMC8xNzA3L+WPjeW8uS/lj43lvLkubXA0Wlo=
神奇女侠,7.6,2017-07-02,thunder://QUFodHRwOi8vZGwxMjcuODBzLmltOjkyMC8xNzA3L+elnnHlpbPkvqAv56WeceWls+S+oC5tcDRaWg==
突然20岁,7.5,2017-06-28,thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+eqgeeEtjIw5bKBL+eqgeeEtjIw5bKBLm1wNFpa
